Track Name,Artists,Album Name,Album Id,Track ID,Popularity,Release Date,Duration (ms),Explicit URLs,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
Low Key (Bonus),Sleepy Hallow,Still Sleep?,38nZLvJx8A9p4YYpTG5iFP,6iSgJHz6m1XOszvVuBVnqs,,2021-06-02,158400,,0.884,0.494,0,-5.849,1,0.207,0.862,0.0,0.349,0.96,100.098
Down Hearted,Sleepy Hallow,Still Sleep? (Deluxe),0ZjOFfItjIA9YbzhERRIBr,1Te0tlHsR9TKyP1DF7inQD,,2021-10-08,116523,,0.777,0.406,10,-9.669,0,0.255,0.676,0.0,0.123,0.715,95.128
Weight On Me,"Sheff G, Sleepy Hallow",One and Only,6lJqLqRmWGmsw8aLEoSlZ9,6A4hgJdwriera4WSUl4moW,,2020-05-15,157619,,0.801,0.533,3,-6.198,0,0.222,0.707,4.28e-05,0.125,0.626,121.959
No Role Modelz,J. Cole,2014 Forest Hills Drive,0UMMIkurRUmkruZ3KGBLtG,68Dni7IE4VyPkTOH9mRWHr,,2014-12-09,292799,,0.69,0.521,10,-8.492,0,0.339,0.324,0.0,0.0534,0.494,100.028
Neva Cared,Polo G,Neva Cared,46MjqBDVvTxenDxf79Ta5S,3UnYMo1aeD0o8VtHy3R8cs,,2018-03-11,186000,,0.822,0.35,1,-12.207,0,0.574,0.0213,0.0,0.0757,0.346,77.528
BookBag 2.0 (feat. Polo G),"BigKayBeezy, Polo G",Bad Intentions,0diTDrcRK1XY8owClcNSc0,0vwOWwl785S9EU1wtbeLLJ,,2020-09-16,171245,,0.909,0.541,8,-6.436,1,0.497,0.322,0.0,0.0942,0.823,135.106
Mo Bamba,Sheck Wes,MUDBOY,15Id9Jrqab8IwHFirdrrLp,1xzBco0xcoJEDXktl7Jxrr,,2018-10-05,183907,,0.729,0.625,4,-5.266,1,0.0315,0.194,0.00986,0.248,0.261,146.034
Magnolia,Playboi Carti,Playboi Carti,4rJgzzfFHAVFhCSt2P4I3j,1e1JKLEDKP7hEQzJfNAgPl,,2017-04-14,181812,,0.791,0.582,11,-7.323,0,0.286,0.0114,0.0,0.35,0.443,162.991
Yes Indeed,"Lil Baby, Drake",Harder Than Ever,7yf9ZJyHRbp8sHtpDKfPpt,6vN77lE9LK6HP2DewaN6HZ,,2018-05-18,142273,,0.963,0.346,5,-9.309,0,0.53,0.0355,0.0,0.108,0.562,119.957
Pure Cocaine,Lil Baby,Street Gossip,4iF44RCCybJtkBkMoqrLW2,577YBGuskWkVDCxZrLRB4v,,2018-11-30,154024,,0.964,0.487,10,-6.071,0,0.421,0.00127,6.57e-06,0.115,0.107,127.05
Freestyle,Lil Baby,Too Hard,750APP0eKVlcgOxaZnBnVt,5BbdKBZO0TH0GhfxUfyhL9,,2017-12-01,162053,,0.877,0.517,2,-5.426,0,0.0706,0.217,0.0,0.143,0.255,119.996
10 Freaky Girls (with 21 Savage),"Metro Boomin, 21 Savage",NOT ALL HEROES WEAR CAPES (Deluxe),3IO8IPjwXuzPJnoaqkwYrj,0AluA5RNsa4Cx6XRhf2hWZ,,2018-11-06,208293,,0.81,0.353,6,-9.931,0,0.31,0.588,0.0,0.102,0.0727,88.031
Took Her To The O,King Von,Levon James,1ZRAeQ6zsPJ5W1K3DvpRpP,7fEoXCZTZFosUFvFQg1BmW,,2020-03-06,196180,,0.82,0.592,1,-7.002,1,0.29,0.0149,4.71e-06,0.121,0.4,159.98
Sum 2 Prove,Lil Baby,My Turn,1ynyQdPQiXdYJNQEDL1S3d,5f4Hy5mw5SRaUgXX9c6P5S,,2020-02-28,205760,,0.827,0.552,4,-7.571,0,0.274,0.0169,0.0,0.122,0.408,124.011
Too Comfortable,Future,High Off Life,4bNPOFOzxGhF5jhfIK6lit,0biVzpdI2z0vAxwfU9xuuA,,2020-05-15,236819,,0.935,0.472,3,-9.304,0,0.0575,0.0455,0.0,0.19,0.659,130.041
We Paid (feat. 42 Dugg),"Lil Baby, 42 Dugg",My Turn (Deluxe),6uhEg4ASZYLIilZFCBFy1r,6gxKUmycQX7uyMwJcweFjp,,2020-05-01,181929,,0.926,0.542,1,-5.064,1,0.293,0.135,0.0,0.0877,0.564,135.14
Immortal,21 Savage,Immortal,7xgzD7onYd1Pms93ZOtxxX,4IO8X9W69dIQe0EC5ALXhq,,2019-10-31,254723,,0.741,0.87,6,-3.494,0,0.503,0.00813,0.0,0.114,0.663,184.194
Gang Shit No Lame Shit,Key Glock,Glockoma,6BsJaQiuPWfXwytfZXQBLm,6gbiTbclnHlmSIPfmF2zEc,,2018-11-23,131600,,0.828,0.434,5,-10.609,1,0.301,0.0394,0.0,0.0806,0.38,115.071
6locc 6a6y,Lil Loaded,6locc 6a6y,6E3aLqi7SbbT7O78TNRtLP,3WCXvxgQ7U3mznWsQjiEMu,,2019-12-06,131286,,0.871,0.702,5,-8.025,1,0.253,0.296,0.0,0.0912,0.675,125.089
Many Men,"21 Savage, Metro Boomin",SAVAGE MODE II,6wTyGUWGCilBFZ837k5aRi,3CDVMejYHnB1SkEEx0T1N4,,2020-10-02,201856,,0.635,0.793,10,-4.333,0,0.0322,0.000647,0.747,0.113,0.281,77.594
pad lock,21 Savage,i am > i was,007DWn799UWvfY1wwZeENR,5stbfxsPi8gcOH2LCuA4Le,,2018-12-21,191360,,0.959,0.55,5,-8.012,0,0.197,0.0187,0.0,0.112,0.798,130.024
"No Suburban, Pt. 2",Sheff G,One and Only,6lJqLqRmWGmsw8aLEoSlZ9,3VayB5gLZGODx8b7RO1y5f,,2020-05-15,153561,,0.85,0.458,8,-7.82,1,0.339,0.476,0.0,0.26,0.616,143.973
24 (feat. Lil Baby),"Money Man, Lil Baby",Epidemic (Deluxe),3raeLaYMyhfb67HgnnNrsg,0xUvi7wldroBzaZCengPa5,,2020-08-21,182857,,0.868,0.638,2,-7.746,1,0.0736,0.146,0.0565,0.0931,0.459,126.03
Banking On Me,Gunna,Banking On Me,0J2kO9eiQauyjKyYgBFtPn,7Fege3yv4dvehB3NdRBGwI,,2022-02-14,200000,,0.793,0.308,0,-10.414,0,0.0466,0.613,1.68e-05,0.0953,0.46,135.143
Sky,Playboi Carti,Whole Lotta Red,2QRedhP5RmKJiJ1i8VgDGR,29TPjc8wxfz4XMn21O7VsZ,,2020-12-25,193234,,0.785,0.903,2,-4.184,1,0.21,0.258,0.0,0.169,0.565,139.98
Mannequin (feat. Lil Tjay),"Pop Smoke, Lil Tjay",Meet The Woo 2,4MZnolldq7ciKKlbVDzLm5,5eJpwQyirY5EEdNadHKRAM,,2020-02-07,160560,,0.683,0.799,1,-5.923,1,0.3,0.456,0.0,0.264,0.752,145.128
Welcome To The Party,Pop Smoke,Meet The Woo,6d1vGZsr6Uy3h9IigBpPAf,0fIffclhgJC5h8AdMMVvkp,,2019-07-26,214960,,0.637,0.723,2,-5.547,1,0.091,0.0134,7.87e-05,0.196,0.228,143.013
Wicked Witch,Nardo Wick,Who is Nardo Wick?,338LPt19lJ2GiGmxDSOAtR,6TNkJPyBho8mQE6IziibHu,,2021-12-03,163240,,0.68,0.638,11,-7.592,1,0.325,0.00257,0.00196,0.122,0.322,150.033
too easy,"Gunna, Future",DS4EVER,02uWB8Kekadkl3yGBoOOcx,1t55dGrBkLvKDzNa9QJ3LV,,2022-01-13,138453,,0.798,0.572,1,-6.627,1,0.17,0.027,0.0,0.099,0.293,155.933
Red Opps,21 Savage,Red Opps,5vjDtsdTgQC7B5jsLvehaF,3cqZH3cqvfbV8wVbvHyPbG,,2016-05-15,163340,,0.703,0.709,9,-6.452,1,0.402,0.00908,0.0,0.127,0.569,140.998
MET GALA,Gunna,WUNNA,0gA0nZrZ55PLUp7ARfrICu,4loM16743hROPC6uIJG6wM,,2020-05-22,149133,,0.873,0.577,1,-9.151,1,0.271,0.353,0.0,0.111,0.956,117.089
family ties (with Kendrick Lamar),"Baby Keem, Kendrick Lamar",The Melodic Blue,3r46DPIQeBQbjvjjV5mXGg,3QFInJAm9eyaho5vBzxInN,,2021-09-10,252262,,0.711,0.611,1,-5.453,1,0.33,0.00588,0.0,0.23,0.144,134.093
I'M ON ONE (feat. Drake),"Future, Drake",I NEVER LIKED YOU,6tE9Dnp2zInFij4jKssysL,6wyhUr4Xw8z5uSy0AhoZfU,,2022-04-29,236187,,0.773,0.707,11,-5.71,1,0.0568,0.0103,1.04e-05,0.296,0.113,76.977
trademark usa,Baby Keem,The Melodic Blue,3r46DPIQeBQbjvjjV5mXGg,15hJmqqEtASVXl6sM7i4UF,,2021-09-10,270671,,0.615,0.6,10,-5.62,1,0.27,0.107,1.61e-06,0.283,0.0661,130.027
Meet the Woo,Pop Smoke,Meet The Woo,6d1vGZsr6Uy3h9IigBpPAf,4kdKKsPHWsyNrvFsZrcg52,,2019-07-26,121080,,0.816,0.526,1,-8.241,1,0.29,0.022,7.05e-05,0.0881,0.383,142.987
Moonwalking in Calabasas (feat. Blueface) - Remix,"DDG, Blueface",Die 4 Respect,4TzzpYnIMI8opSO9koKKVG,73xjJ1TIE6WP3HNKczQE4F,,2021-06-15,170233,,0.925,0.322,11,-9.8,0,0.112,0.103,0.0,0.137,0.712,129.957
Slidin,"21 Savage, Metro Boomin",SAVAGE MODE II,6wTyGUWGCilBFZ837k5aRi,7fxSLnklnayJNBIKntXedZ,,2020-10-02,185037,,0.774,0.706,2,-6.494,1,0.355,0.00163,1.28e-06,0.104,0.382,152.891
Brand New Draco,"21 Savage, Metro Boomin",SAVAGE MODE II,6wTyGUWGCilBFZ837k5aRi,4V9ynsDPwHtdItksqjuRu0,,2020-10-02,202420,,0.697,0.709,11,-6.642,0,0.298,0.041,0.000296,0.0886,0.439,155.023
P power (feat. Drake),"Gunna, Drake",DS4EVER,02uWB8Kekadkl3yGBoOOcx,0lEjxUUlKqjqXrVlIHFduD,,2022-01-13,193347,,0.828,0.591,1,-6.217,1,0.109,0.0199,0.000323,0.361,0.202,119.251
Solo,Future,HNDRXX,7K6OykPbezfgKgBufihn6X,4lH6nENd1y81jp7Yt9lTBX,,2017-07-27,265996,,0.784,0.486,5,-6.497,0,0.0475,0.0538,0.497,0.101,0.0894,110.964
My Choppa Hate Niggas,"21 Savage, Metro Boomin",Without Warning,0MV1yCXcNNQBfwApqAVkH0,2D2w9943rsnJOGCrI4aMQp,,2017-10-30,148640,,0.862,0.274,0,-5.818,0,0.416,0.0974,0.185,0.183,0.154,77.492
Faneto,Chief Keef,Back from the Dead 2,6uOn9t70gVO6YPU4M65h5g,7EcE5yCPVZaZut1JqowbcI,,2015-06-16,206655,,0.849,0.755,1,-7.4,0,0.363,0.346,0.0,0.0564,0.393,144.188
Wants and Needs (feat. Lil Baby),"Drake, Lil Baby",Scary Hours 2,5LuoozUhs2pl3glZeAJl89,65OVbaJR5O1RmwOQx0875b,,2021-03-05,192956,,0.578,0.449,1,-6.349,1,0.286,0.0618,2.17e-06,0.119,0.1,136.006
Don't Come Out The House (with 21 Savage),"Metro Boomin, 21 Savage",NOT ALL HEROES WEAR CAPES (Deluxe),3IO8IPjwXuzPJnoaqkwYrj,2Grb4G6t9VIqo6moKUloom,,2018-11-06,168347,,0.87,0.35,1,-6.082,1,0.277,0.00661,0.000483,0.108,0.175,74.963
Need It (feat. YoungBoy Never Broke Again),"Migos, YoungBoy Never Broke Again",Culture III,3uyOwJu4r3yroAkFywNFM3,1cMMVJ4FDqhCci9efd1BU6,,2021-06-11,195681,,0.852,0.747,11,-3.666,0,0.169,0.0311,0.0,0.0789,0.898,148.005
"Who Want Smoke?? (feat. G Herbo, Lil Durk & 21 Savage)","Nardo Wick, G Herbo, Lil Durk, 21 Savage",Who is Nardo Wick?,338LPt19lJ2GiGmxDSOAtR,7ACW7VpgoKmfM1sKo15UhX,,2021-12-03,279573,,0.748,0.713,6,-6.399,1,0.355,0.00496,0.0,0.245,0.482,75.591
Ready (feat. Gunna),"Lil Baby, Gunna",Street Gossip,4iF44RCCybJtkBkMoqrLW2,4F6yN5FsFW10Ucx7cLCzBh,,2018-11-30,213287,,0.793,0.395,1,-5.578,1,0.385,0.277,1.4e-05,0.109,0.129,77.027
Hard To Choose One,Future,High Off Life,4bNPOFOzxGhF5jhfIK6lit,66z5CuZkqkb18VhFTRwbZk,,2020-05-15,193657,,0.884,0.436,10,-9.922,1,0.255,0.011,0.0,0.101,0.254,119.013
3 Headed Goat (feat. Lil Baby & Polo G),"Lil Durk, Lil Baby, Polo G",Just Cause Y'all Waited 2,3D4bwVn4Wp8Za0Amkyd5I5,6Tguhaf2uAe6OjRLsR2Tql,,2020-05-08,169532,,0.846,0.48,8,-8.618,0,0.359,0.269,0.0,0.0989,0.419,143.029
No Flockin',Kodak Black,No Flockin',12YTH28wiBXQ16gvWOCMLU,34oWbFBfGEElvgO0a5c9V4,,2015-11-13,165291,,0.943,0.595,5,-8.372,0,0.191,0.0673,0.0,0.0839,0.815,117.532
Drip or Drown,Gunna,Drip or Drown,3flHKlyXgH4vu277N43sMJ,6ZthdsKjWtiCxnxbhs74vF,,2017-11-30,126168,,0.952,0.478,5,-8.52,0,0.361,0.774,0.0,0.112,0.568,118.008
Onna Come Up,Lil Eazzyy,Underrated,5GnCVEvwaFZPogirSgrrtv,0e4A9Fak1nJ7RtBD8YpoEo,,2020-11-20,128014,,0.796,0.426,1,-13.207,1,0.285,0.356,2.73e-05,0.0941,0.649,150.043
Who You Foolin,Gunna,Drip or Drown 2,1oUzjom2A9xtyRM1SdOAGj,7KVPsVMOK3NL7subwJ0dZj,,2019-02-22,151539,,0.916,0.756,0,-7.653,1,0.188,0.0942,0.0,0.23,0.756,115.69
ORANGE SODA,Baby Keem,DIE FOR MY BITCH,7Cw4LObzgnVqSlkuIyywtI,5FkoSXiJPKTNyYgALRJFhD,,2019-07-19,129882,,0.83,0.564,1,-7.822,1,0.235,0.177,0.0,0.128,0.107,85.042
Turks (with Gunna & ft. Travis Scott),"NAV, Gunna, Travis Scott",Good Intentions,0jk3nAmtiIfwLU4CvDDMaS,7IMwEtpAiJanqF6vQteZN2,,2020-05-08,161320,,0.894,0.618,7,-4.356,0,0.129,0.0808,0.0,0.558,0.379,119.1
fukumean,Gunna,a Gift & a Curse,5qmZefgh78fN3jsyPPlvuw,4rXLjWdF2ZZpXCVTfWcshS,,2023-06-16,125040,,0.847,0.622,1,-6.747,0,0.0903,0.119,0.0,0.285,0.22,130.001
back to the moon,Gunna,a Gift & a Curse,5qmZefgh78fN3jsyPPlvuw,3OGCNLxpBmTYRxPZg2yDE5,,2023-06-16,193333,,0.767,0.662,5,-4.856,0,0.0578,0.103,0.0,0.123,0.259,143.943
Down the Line,Beach Fossils,Somersault,6Kkz3vJXJzemMSQkbsqWQR,1KPDAA9zyJXcEDvFW5inYi,,2017-06-02,158474,,0.603,0.743,7,-6.569,1,0.0395,0.24,0.00392,0.147,0.533,162.265
Stargazing,The Neighbourhood,Chip Chrome & The Mono-Tones (Deluxe),2JyArayVlT6t3MVWLLdSwZ,0VF7YLIxSQKyNiFL3X6MmN,,2020-12-11,217027,,0.512,0.483,0,-7.798,1,0.0298,0.00304,0.0011,0.12,0.367,160.009
Fuzzybrain,Dayglow,Fuzzybrain,5PFzbdbZRNaoGLCHFPnmv3,57HJa4ktE7iHGrbFhwzEr2,,2019-11-14,219429,,0.488,0.51,7,-8.367,1,0.026,0.0233,0.15,0.143,0.368,104.959
Wishful Thinking,BENEE,FIRE ON MARZZ,6pTMhQX8gt1xegiIwo3Ekb,06Xh1KvQofFghlSt33mFjc,,2019-06-28,213373,,0.644,0.661,4,-6.161,1,0.0332,0.144,1.54e-06,0.177,0.55,82.022
Cooks,Still Woozy,Cooks,6P5uQurlsYMrmOgGRd3xpz,75TDPu9k7Yv3IovdYaNCwk,,2017-07-16,174105,,0.45,0.583,4,-10.49,0,0.0811,0.434,0.0126,0.244,0.701,77.066
Nicotine Dream,Breakup Shoes,Nicotine Dream EP,6NSdc5ipjdl0qrXFTMBtko,0bJs66Q7uwNby1vPt8HM2E,,2016-04-18,175304,,0.525,0.608,8,-6.03,1,0.0289,0.303,0.0,0.323,0.722,114.868
Lost in Translation,The Neighbourhood,Chip Chrome & The Mono-Tones,4uNgt1uQs6wZRm4giB3shX,5TUZhrb8UaaA76NhzZax2Z,,2020-09-25,190227,,0.568,0.891,0,-5.786,1,0.0376,0.000896,0.000137,0.357,0.522,104.954
I Love You So,The Walters,Songs for Dads,3MFTbUnA8C9T6KCBb0gpH5,1175r6ZmkUjX8dRJLz9Ohk,,2014-11-28,160254,,0.578,0.669,10,-4.898,1,0.0377,0.65,0.0,0.13,0.503,75.995
Pool House,The Backseat Lovers,When We Were Friends,3TSMSh5dai7WEnEGOoMXBZ,74f0dpqHhTeTJzs4pmZ1yq,,2019-01-27,269412,,0.594,0.355,7,-11.184,1,0.0305,0.0478,0.000109,0.0559,0.327,134.097
Circles,Mac Miller,Circles,5sY6UIQ32GqwMLAfSNEaXb,4jXl6VtkFFKIt3ycUQc5LT,,2020-01-17,170360,,0.61,0.0316,9,-15.186,1,0.0486,0.896,0.00461,0.108,0.37,151.964
Sundress,A$AP Rocky,Sundress,3AlyvIIMZyT5LjWFeK5LSl,2aPTvyE09vUCRwVvj0I8WK,,2018-11-20,158206,,0.721,0.707,6,-6.364,1,0.0595,0.181,3.68e-06,0.143,0.743,125.005
Everybody,Mac Miller,Circles,5sY6UIQ32GqwMLAfSNEaXb,1OuN92HcVG6NVpWbeESNB3,,2020-01-17,256507,,0.875,0.599,9,-9.077,0,0.138,0.0333,0.0143,0.113,0.112,152.061
Raspberry,GROUPLOVE,Spreading Rumours,1VNBZDM7OxEQPFbEtVqUuf,1F5A4LpF8ylUVtPoMAvNvn,,2013-09-17,196027,,0.492,0.779,3,-5.022,1,0.0498,0.0292,0.0,0.129,0.445,104.966
Doses & Mimosas,Cherub,Year of the Caprese,070DVvXuLD3fM3KYs47tas,44CZRkOxv7UItaAUmh8PgN,,2014,323253,,0.775,0.655,5,-7.333,1,0.102,0.114,0.00016,0.035,0.346,114.503
Ocean Man,Ween,The Mollusk,1yfJqxKKXG320vhqLfUEeC,6M14BiCN00nOsba4JaYsHW,,1997-04-18,126947,,0.72,0.912,4,-6.13,1,0.0363,0.551,0.00122,0.0982,0.973,122.782
Heartbreak Anniversary,Giveon,TAKE TIME,1zHR48K6XtWYm6bhrw4J6C,3FAJ6O0NOHQV8Mc5Ri6ENp,,2020-03-27,198371,,0.449,0.465,0,-8.964,1,0.0791,0.524,1.02e-06,0.303,0.543,89.087
Meet Me At Our Spot,"THE ANXIETY, WILLOW, Tyler Cole",THE ANXIETY,2kZyqn4Cmr78D74K9TcO4K,07MDkzWARZaLEdKxo6yArG,,2020-03-13,162680,,0.773,0.47,2,-7.93,1,0.0299,0.0153,0.000193,0.0851,0.399,94.995
Good Riddance (Time of Your Life),Green Day,Nimrod,3x2uer6Xh0d5rF8toWpRDA,6ORqU0bHbVCRjXm9AjyHyZ,,1997-10-14,153467,,0.475,0.432,7,-7.844,1,0.0302,0.183,0.0,0.161,0.648,94.605
2 / 14,The Band CAMINO,My Thoughts On You,6itEtMM5U5hc5klRxnDvBx,2QwpEi3eNToZCCMMRcOj0u,,2016-04-01,163690,,0.607,0.709,9,-7.428,1,0.0538,0.372,0.0,0.294,0.551,97.006
Televised,HUNNY,Windows I,3veiAKm8GGN4fhcfh58PBr,35Ki1lvKPC2sFBD3GmKdRG,,2017-05-26,194717,,0.591,0.746,8,-7.762,1,0.0444,0.000729,0.0,0.127,0.432,107.965
Way It Goes,Hippo Campus,Landmark,0vb1g018puu47StlIi9wxC,6CES1554HcWMIVroJfmmBm,,2017-02-24,245456,,0.542,0.906,9,-4.213,1,0.0491,0.021,0.00043,0.377,0.515,120.014
Dræm Girl,No Vacation,Summer Break Mixtape,3Ahz3KpKarLfZAb2bYEe65,6lbLn5iL2NBJnbib7bTXMn,,2015-07-15,234607,,0.192,0.952,2,-5.888,1,0.258,0.00164,0.716,0.307,0.262,172.752
These Days,Wallows,Spring EP,0P2kTQ7mJ3z7CFjII7GWkw,4gZDCOFuLCxCRWNhSEcOtJ,,2018-04-06,202627,,0.655,0.668,0,-6.733,1,0.0272,0.0398,0.0302,0.0759,0.867,93.003
Why Do You Feel So Down,Declan McKenna,What Do You Think About the Car?,3HJiLDJgWA9Z0MvCxlzHYQ,5Bge1Dsqjc14hhGguYML5w,,2017-07-21,220707,,0.558,0.909,7,-5.851,1,0.0406,0.0576,0.0,0.102,0.452,114.56
Hot Rod,Dayglow,Fuzzybrain,5PFzbdbZRNaoGLCHFPnmv3,0zePbRMJ9sd7wsZRlbPQua,,2019-11-14,204014,,0.707,0.767,7,-7.072,1,0.0323,0.0279,0.000295,0.169,0.832,139.985
Can I Call You Tonight?,Dayglow,Fuzzybrain,5PFzbdbZRNaoGLCHFPnmv3,64lsIF5pw0sJY0gV5kz0RN,,2019-11-14,278769,,0.641,0.842,9,-7.27,1,0.0292,0.132,0.91,0.419,0.5,129.98
Telescope,Cage The Elephant,Melophobia,4kb0lu1IA0KLuwOrw7uD78,579XFPQju7GyJcEvIjloXn,,2013-10-08,228293,,0.589,0.481,0,-4.801,1,0.0285,0.273,1.33e-05,0.0986,0.176,93.568
Maple Syrup,The Backseat Lovers,When We Were Friends,3TSMSh5dai7WEnEGOoMXBZ,4MXE6VCvTsQitHWrAxj7Kg,,2019-01-27,243529,,0.543,0.526,2,-9.703,1,0.0582,0.0447,0.0533,0.0778,0.384,153.0
Every Teardrop Is a Waterfall,Coldplay,Mylo Xyloto,2R7iJz5uaHjLEVnMkloO18,2U8g9wVcUu9wsg6i7sFSv8,,2011-10-24,240796,,0.425,0.732,9,-6.883,1,0.0396,0.00194,0.0103,0.171,0.333,117.98
Small Talk,Briston Maroney,Indiana,7nfm0AkAW1WqxJ167DHuXV,5kBYMymc2d3h164QqEHwRL,,2019-05-17,198809,,0.613,0.64,0,-7.637,1,0.0338,0.286,0.0,0.15,0.441,129.853
Listerine,Dayglow,Fuzzybrain,5PFzbdbZRNaoGLCHFPnmv3,5LEVjmo2QweDHc7k19aFcp,,,215556,,0.694,0.583,11,-11.549,1,0.0371,0.168,0.819,0.329,0.897,134.999
What Once Was,Her's,Songs of Her's,03gwRG5IvkStFnjPmgjElw,1XrSjpNe49IiygZfzb74pk,,2017-05-12,255067,,0.526,0.877,3,-4.369,0,0.033,0.172,0.0108,0.223,0.436,145.568
Lovers Rock,TV Girl,French Exit,6WrxgVbi9Q96gV8tZMq3FH,1H7zdcRD0gLGQY0w5ejGgX,,2014-06-05,213920,,0.559,0.871,5,-5.338,0,0.0392,7.53e-06,0.00524,0.096,0.573,104.976
505,Arctic Monkeys,Favourite Worst Nightmare (Standard Version),6rsQnwaoJHxXJRCDBPkBRw,58ge6dfP91o9oXMzq3XkIS,,2007-04-24,253587,,0.52,0.852,0,-5.866,1,0.0543,0.00237,5.79e-05,0.0733,0.234,140.267
"Sunflower, Vol. 6",Harry Styles,Fine Line,7xV2TzoaVc0ycW7fwBwAml,6iYMfxznTBlcVOgRHab2W0,,2019-12-13,221827,,0.566,0.846,7,-6.904,0,0.035,0.000564,0.000795,0.121,0.86,160.02
Watch Your Mouth,The Backseat Lovers,When We Were Friends,3TSMSh5dai7WEnEGOoMXBZ,4DHLopEsKDwQBgucGKJuzj,,2019-01-27,271176,,0.566,0.375,2,-10.933,1,0.0288,0.394,0.0243,0.0971,0.244,87.891
